mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Gayite,NaMn^2+^Fe^3+^_5_(PO_4_)_4_(OH)_6_·2H_2_O,NaMnFe<sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Na Mn Fe P O H
Gaylussite,Na_2_Ca(CO_3_)_2_·5H_2_O,Na<sub>2</sub>Ca(CO<sub>3</sub>)<sub>2</sub>·5H<sub>2</sub>O,Na Ca C O H
Gearksutite,CaAlF_4_(OH)·H_2_O,CaAlF<sub>4</sub>(OH)·H<sub>2</sub>O,Ca Al F O H
Geigerite,Mn^2+^_5_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·10H_2_O,Mn<sup>2+</sup><sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·10H<sub>2</sub>O,Mn As O H
Geminite,Cu^2+^(As^5+^O_3_OH)·H_2_O,Cu<sup>2+</sup>(AsO<sub>3</sub>OH)·H<sub>2</sub>O,Cu As O H
Gengenbachite,KFe^3+^_3_(H_2_P^5+^O_4_)_2_(HP^5+^O_4_)_4_·6H_2_O,KFe<sub>3</sub>(H<sub>2</sub>PO<sub>4</sub>)<sub>2</sub>(HPO<sub>4</sub>)<sub>4</sub>·6H<sub>2</sub>O,K Fe H P O
Genplesite,Ca_3_Sn^4+^(S^6+^O_4_)_2_(OH)_6_·3H_2_O,Ca<sub>3</sub>Sn(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Ca Sn S O H
Georgbarsanovite,"Na_12_(Mn^2+^,Sr)_3_Ca_6_Fe^2+^_3_Zr^4+^_3_Nb^5+^Si_25_O_76_Cl_2_·H_2_O","Na<sub>12</sub>(Mn,Sr,REE)<sub>3</sub>Ca<sub>6</sub>Fe<sup>2+</sup><sub>3</sub>Zr<sub>3</sub>NbSi<sub>25</sub>O<sub>76</sub>Cl<sub>2</sub>·H<sub>2</sub>O",Na Mn Sr REE Ca Fe Zr Nb Si O Cl H
George-ericksenite,Na_6_CaMg(I^5+^O_3_)_6_(Cr^6+^O_4_)_2_·12H_2_O,Na<sub>6</sub>CaMg(IO<sub>3</sub>)<sub>6</sub>(CrO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,Na Ca Mg I O Cr H
Georgechaoite,KNaZr^4+^Si_3_O_9_·2H_2_O,KNaZrSi<sub>3</sub>O<sub>9</sub>·2H<sub>2</sub>O,K Na Zr Si O H
Gerasimovskite,Mn^2+^Ti^4+^_3_Nb^5+^_2_O_12_·9H_2_O,"Mn<sup>2+</sup>(Ti,Nb)<sub>5</sub>O<sub>12</sub>·9H<sub>2</sub>O (?)",Mn Ti Nb O H
Gerenite-(Y),NaCaY^3+^_3_Si_6_O_18_·2H_2_O,"(Ca,Na,[box])<sub>2</sub>Y<sub>3</sub>Si<sub>6</sub>O<sub>18</sub>·2H<sub>2</sub>O",Ca Na Y Si O H
Gerstleyite,"Na_2_(Sb,As)_8_S_13_·2H_2_O","Na<sub>2</sub>(Sb,As)<sub>8</sub>S<sub>13</sub>·2H<sub>2</sub>O",Na Sb As S H O
Geschieberite,K_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O,K<sub>2</sub>(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,K U O S H
Giftgrubeite,CaMn^2+^_2_Ca_2_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·4H_2_O,CaMn<sub>2</sub>Ca<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,Ca Mn As O H
Gilalite,Cu^2+^_5_Si_6_O_17_·7H_2_O,Cu<sub>5</sub>Si<sub>6</sub>O<sub>17</sub>·7H<sub>2</sub>O,Cu Si O H
Giniite,Fe^2+^Fe^3+^_4_(PO_4_)_4_(OH)_2_·2H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>2</sub>·2H<sub>2</sub>O,Fe P O H
Ginorite,Ca_2_B_14_O_20_(OH)_6_·5H_2_O,Ca<sub>2</sub>B<sub>14</sub>O<sub>20</sub>(OH)<sub>6</sub>·5H<sub>2</sub>O,Ca B O H
Giorgiosite,Mg_5_(CO_3_)_4_(OH)_2_·5H_2_O,Mg<sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·5H<sub>2</sub>O,Mg C O H
Girvasite,NaCa_2_Mg_3_(PO_4_)_2_[PO_2_(OH)_2_]CO_3_(OH)_2_·4H_2_O,NaCa<sub>2</sub>Mg<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>[PO<sub>2</sub>(OH)<sub>2</sub>](CO<sub>3</sub>)(OH)<sub>2</sub>·4H<sub>2</sub>O,Na Ca Mg P O H C
Gismondine,Ca_2_(Si_4_Al_4_)O_16_·8H_2_O,Ca<sub>2</sub>(Si<sub>4</sub>Al<sub>4</sub>)O<sub>16</sub>·8H<sub>2</sub>O,Ca Si Al O H
Gjerdingenite-Ca,"K_2_Ca(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·6H_2_O","K<sub>2</sub>Ca(Nb,Ti)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>(O,OH)<sub>4</sub>·6H<sub>2</sub>O",K Ca Nb Ti Si O H
Gjerdingenite-Na,"(K,Na)_2_Na(Nb^5+^,Ti^4+^)_4_(Si_4_O_12_)_2_(OH,O)_4_·5H_2_O","K<sub>2</sub>Na(Nb,Ti)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>(OH,O)<sub>4</sub>·5H<sub>2</sub>O",K Na Nb Ti Si O H
Gladiusite,Fe^3+^_2_Fe^2+^_4_PO_4_(OH)_11_·H_2_O,Fe<sup>3+</sup><sub>2</sub>Fe<sup>2+</sup><sub>4</sub>(PO<sub>4</sub>)(OH)<sub>11</sub>·H<sub>2</sub>O,Fe P O H
Glucine,CaBe_4_(PO_4_)_2_(OH)_4_·0.5H_2_O,CaBe<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>·0.5H<sub>2</sub>O,Ca Be P O H
Glushinskite,Mg(C_2_)^6+^O_4_·2H_2_O,Mg(C<sub>2</sub>O<sub>4</sub>)·2H<sub>2</sub>O,Mg C O H
Gmelinite-Ca,Ca_2_(Si_8_Al_4_)O_24_·11H_2_O,Ca<sub>2</sub>(Si<sub>8</sub>Al<sub>4</sub>)O<sub>24</sub>·11H<sub>2</sub>O,Ca Si Al O H
Gmelinite-K,K_4_(Si_8_Al_4_)O_24_·11H_2_O,K<sub>4</sub>(Si<sub>8</sub>Al<sub>4</sub>)O<sub>24</sub>·11H<sub>2</sub>O,K Si Al O H
Gmelinite-Na,Na_4_(Si_8_Al_4_)O_24_·11H_2_O,Na<sub>4</sub>(Si<sub>8</sub>Al<sub>4</sub>)O<sub>24</sub>·11H<sub>2</sub>O,Na Si Al O H
Gobbinsite,Na_5_(Si_11_Al_5_)O_32_·11H_2_O,Na<sub>5</sub>(Si<sub>11</sub>Al<sub>5</sub>)O<sub>32</sub>·11H<sub>2</sub>O,Na Si Al O H
Goldichite,KFe^3+^(S^6+^O_4_)_2_·4H_2_O,KFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,K Fe S O H
Golyshevite,Na_10_Ca_9_Zr^4+^_3_Fe^2+^_2_SiNb^5+^(Si_3_O_9_)_2_(Si_9_O_27_)_2_(OH)_3_(CO_3_)·H_2_O,Na<sub>10</sub>Ca<sub>9</sub>Zr<sub>3</sub>Fe<sub>2</sub>SiNb(Si<sub>3</sub>O<sub>9</sub>)<sub>2</sub>(Si<sub>9</sub>O<sub>27</sub>)<sub>2</sub>(OH)<sub>3</sub>(CO<sub>3</sub>)·H<sub>2</sub>O,Na Ca Zr Fe Si Nb O H C
Gonnardite,"(Na,Ca)_2_(Si,Al)_5_O_10_·3H_2_O","(Na,Ca)<sub>2</sub>(Si,Al)<sub>5</sub>O<sub>10</sub>·3H<sub>2</sub>O",Na Ca Si Al O H
Gordaite,NaZn^2+^_4_(S^6+^O_4_)(OH)_6_Cl·6H_2_O,NaZn<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>Cl·6H<sub>2</sub>O,Na Zn S O H Cl
Gordonite,MgAl_2_(PO_4_)_2_(OH)_2_·8H_2_O,MgAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Mg Al P O H
Gorgeyite,K_2_Ca_5_(S^6+^O_4_)_6_·H_2_O,K<sub>2</sub>Ca<sub>5</sub>(SO<sub>4</sub>)<sub>6</sub>·H<sub>2</sub>O,K Ca S O H
Gormanite,Fe^2+^_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O,Fe<sup>2+</sup><sub>3</sub>Al<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>6</sub>·2H<sub>2</sub>O,Fe Al P O H
Goslarite,Zn^2+^S^6+^O_4_·7H_2_O,Zn(SO<sub>4</sub>)·7H<sub>2</sub>O,Zn S O H
Goudeyite,Cu^2+^_6_Al(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu<sub>6</sub>Al(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Cu Al As O H
Gowerite,Ca[B_5_O_8_(OH)][B(OH)_3_]·3H_2_O,Ca[B<sub>5</sub>O<sub>8</sub>(OH)][B(OH)<sub>3</sub>]·3H<sub>2</sub>O,Ca B O H
Graemite,Cu^2+^Te^4+^O_3_·H_2_O,Cu<sup>2+</sup>(Te<sup>4+</sup>O<sub>3</sub>)·H<sub>2</sub>O,Cu Te O H
Gravegliaite,Mn^2+^S^4+^O_3_·3H_2_O,Mn<sup>2+</sup>(S<sup>4+</sup>O<sub>3</sub>)·3H<sub>2</sub>O,Mn S O H
Grayite,Th^3+^PO_4_·H_2_O,"(Th,Pb,Ca)(PO<sub>4</sub>)·H<sub>2</sub>O",Th Pb Ca P O H
Greenlizardite,(N^3-^H_4_)Na(U^6+^O_2_)_2_(S^6+^O_4_)_2_(OH)_2_·4H_2_O,(NH<sub>4</sub>)Na(UO<sub>2</sub>)<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,N H Na U O S
Greifensteinite,Ca_2_Fe^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,Ca<sub>2</sub>Be<sub>4</sub>Fe<sup>2+</sup><sub>5</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca Be Fe P O H
Grimselite,K_3_Na(U^6+^O_2_)(CO_3_)_3_·H_2_O,K<sub>3</sub>Na(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·H<sub>2</sub>O,K Na U O C H
Grischunite,NaCa_2_Mn^2+^_5_Fe^3+^(As^5+^O_4_)_6_·2H_2_O,NaCa<sub>2</sub>Mn<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup>(AsO<sub>4</sub>)<sub>6</sub>·2H<sub>2</sub>O,Na Ca Mn Fe As O H
Grumantite,NaSi_2_O_4_(OH)·H_2_O,NaSi<sub>2</sub>O<sub>4</sub>(OH)·H<sub>2</sub>O,Na Si O H
Guanacoite,Cu^2+^_2_Mg_3_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,Cu<sub>2</sub>Mg<sub>3</sub>(OH)<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Cu Mg O H As
Guarinoite,Zn^2+^_6_S^6+^O_4_(OH)_10_·5H_2_O,Zn<sub>6</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·5H<sub>2</sub>O,Zn S O H
Guerinite,Ca_5_(As^5+^O_3_OH)_2_(As^5+^O_4_)_2_·9H_2_O,Ca<sub>5</sub>(AsO<sub>3</sub>OH)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·9H<sub>2</sub>O,Ca As O H
Guildite,Cu^2+^Fe^3+^(S^6+^O_4_)_2_(OH)·4H_2_O,CuFe<sup>3+</sup>(SO<sub>4</sub>)<sub>2</sub>(OH)·4H<sub>2</sub>O,Cu Fe S O H
Guilleminite,Ba(U^6+^O_2_)_3_(Se^4+^O_3_)_2_O_2_·3H_2_O,Ba(UO<sub>2</sub>)<sub>3</sub>(Se<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>O<sub>2</sub>·3H<sub>2</sub>O,Ba U O Se H
Guimaraesite,Ca_2_Zn^2+^_5_Be_4_(P^5+^O_4_)_6_(OH)_4_·6H_2_O,Ca<sub>2</sub>Be<sub>4</sub>Zn<sub>5</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca Be Zn P O H
Gunningite,Zn^2+^S^6+^O_4_·H_2_O,Zn(SO<sub>4</sub>)·H<sub>2</sub>O,Zn S O H
Gunterblassite,"(K,Ca)_3-x_Fe^2+^[(Si,Al)_13_O_25_(OH,O)_4_]·7H_2_O","(K,Ca,Ba,Na,[box])<sub>3</sub>Fe[(Si,Al)<sub>13</sub>O<sub>25</sub>(OH,O)<sub>4</sub>]·7H<sub>2</sub>O",K Ca Ba Na Fe Si Al O H
Gunterite,Na_4_(H_2_O)_16_(H_2_V^5+^_10_O_28_)·6H_2_O,Na<sub>4</sub>(H<sub>2</sub>O)<sub>16</sub>(H<sub>2</sub>V<sub>10</sub>O<sub>28</sub>)·6H<sub>2</sub>O,Na H O V
Gutkovaite-Mn,"CaK_2_Mn^2+^(Ti^4+^,Nb^5+^)_4_(Si_4_O_12_)_2_(O,OH)_4_·5H_2_O","CaK<sub>2</sub>Mn(Ti,Nb)<sub>4</sub>(Si<sub>4</sub>O<sub>12</sub>)<sub>2</sub>(O,OH)<sub>4</sub>·5H<sub>2</sub>O",Ca K Mn Ti Nb Si O H
Gypsum,CaS^6+^O_4_·2H_2_O,Ca(SO<sub>4</sub>)·2H<sub>2</sub>O,Ca S O H
Gyrolite,NaCa_16_(Si_23_Al)O_60_(OH)_8_·14H_2_O,NaCa<sub>16</sub>(Si<sub>23</sub>Al)O<sub>60</sub>(OH)<sub>8</sub>·14H<sub>2</sub>O,Na Ca Si Al O H
Gysinite-(Nd),Pb^2+^Nd^3+^(CO_3_)_2_(OH)·H_2_O,PbNd(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,Pb Nd C O H
Haidingerite,Ca(As^5+^O_3_OH)·H_2_O,Ca(AsO<sub>3</sub>OH)·H<sub>2</sub>O,Ca As O H
Haigerachite,KFe^3+^_3_(H_2_P^5+^O_4_)_6_(HP^5+^O_4_)_2_·4H_2_O,KFe<sup>3+</sup><sub>3</sub>(H<sub>2</sub>PO<sub>4</sub>)<sub>6</sub>(HPO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,K Fe H P O
Haineaultite,"(Na,Ca)_5_Ca(Ti^4+^,Nb^5+^)_5_Si_12_O_34_(OH,F)_8_·5H_2_O","(Na,Ca)<sub>5</sub>Ca(Ti,Nb)<sub>5</sub>Si<sub>12</sub>O<sub>34</sub>(OH,F)<sub>8</sub>·5H<sub>2</sub>O",Na Ca Ti Nb Si O H F
Haiweeite,Ca(U^6+^O_2_)_2_Si_5_O_12_(OH)_2_·6H_2_O,Ca(UO<sub>2</sub>)<sub>2</sub>(Si<sub>5</sub>O<sub>12</sub>)(OH)<sub>2</sub>·6H<sub>2</sub>O,Ca U O Si H
Halloysite-10A,Al_2_Si_2_O_5_(OH)_4_·2H_2_O,Al<sub>2</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O,Al Si O H
Halotrichite,Fe^2+^Al_2_(S^6+^O_4_)_4_·22H_2_O,Fe<sup>2+</sup>Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·22H<sub>2</sub>O,Fe Al S O H
Hannayite,(N^3-^H_4_)_2_Mg_3_(P^5+^O_3_OH)_4_·8H_2_O,(NH<sub>4</sub>)<sub>2</sub>Mg<sub>3</sub>(PO<sub>3</sub>OH)<sub>4</sub>·8H<sub>2</sub>O,N H Mg P O
Hannebachite,(CaS^4+^O_3_)_2_·H_2_O,Ca(SO<sub>3</sub>)·0.5H<sub>2</sub>O,Ca S O H
Hansesmarkite,Ca_2_Mn^2+^_2_Nb^5+^_6_O_19_·20H_2_O,Ca<sub>2</sub>Mn<sub>2</sub>Nb<sub>6</sub>O<sub>19</sub>·20H<sub>2</sub>O,Ca Mn Nb O H
Harkerite,Ca_12_Mg_4_Al(SiO_4_)_4_(BO_3_)_3_(CO_3_)_5_·H_2_O,Ca<sub>12</sub>Mg<sub>4</sub>Al(CO<sub>3</sub>)<sub>5</sub>(BO<sub>3</sub>)<sub>3</sub>(SiO<sub>4</sub>)<sub>4</sub>·H<sub>2</sub>O,Ca Mg Al C O B Si H
Harmotome,Ba_2_(Si_12_Al_4_)O_32_·12H_2_O,Ba<sub>2</sub>(Si<sub>12</sub>Al<sub>4</sub>)O<sub>32</sub>·12H<sub>2</sub>O,Ba Si Al O H
Heinrichite,Ba(U^6+^O_2_)_2_(As^5+^O_4_)_2_·10H_2_O,Ba(UO<sub>2</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·10H<sub>2</sub>O,Ba U O As H
Heisenbergite,U^6+^O_2_(OH)_2_·H_2_O,(UO<sub>2</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,U O H
Hellyerite,Ni^2+^CO_3_·6H_2_O,Ni(CO<sub>3</sub>)·6H<sub>2</sub>O,Ni C O H
Helmutwinklerite,Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_·2H_2_O,PbZn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Pb Zn As O H
Hemimorphite,Zn^2+^_4_Si_2_O_7_(OH)_2_·H_2_O,Zn<sub>4</sub>(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Zn Si O H
Hennomartinite,SrMn^3+^_2_Si_2_O_7_(OH)_2_·H_2_O,SrMn<sup>3+</sup><sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Sr Mn Si O H
Heulandite-Ca,"(Ca,Na,K)_5_(Si_27_Al_9_)O_72_·26H_2_O","(Ca,Na,K)<sub>5</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·26H<sub>2</sub>O",Ca Na K Si Al O H
Heulandite-K,"(K,Ca,Na)_5_(Si_27_Al_9_)O_72_·26H_2_O","(K,Ca,Na)<sub>5</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·26H<sub>2</sub>O",K Ca Na Si Al O H
Heulandite-Na,"(Na,Ca,K)_6_(Si,Al)_36_O_72_·22H_2_O","(Na,Ca,K)<sub>6</sub>(Si,Al)<sub>36</sub>O<sub>72</sub>·22H<sub>2</sub>O",Na Ca K Si Al O H
Heulandite-Sr,"(Sr,Ca,Na)_5_(Si_27_Al_9_)O_72_·24H_2_O","(Sr,Ca,Na)<sub>5</sub>(Si<sub>27</sub>Al<sub>9</sub>)O<sub>72</sub>·24H<sub>2</sub>O",Sr Ca Na Si Al O H
Hewettite,CaV^5+^_6_O_16_·9H_2_O,CaV<sup>5+</sup><sub>6</sub>O<sub>16</sub>·9H<sub>2</sub>O,Ca V O H
Hexahydrite,MgS^6+^O_4_·6H_2_O,Mg(SO<sub>4</sub>)·6H<sub>2</sub>O,Mg S O H
Hexahydroborite,Ca[B(OH)_4_]_2_·2H_2_O,Ca[B(OH)<sub>4</sub>]<sub>2</sub>·2H<sub>2</sub>O,Ca B O H
Hielscherite,Ca_3_Si(S^6+^O_4_)(S^4+^O_3_)(OH)_6_·11H_2_O,Ca<sub>6</sub>Si<sub>2</sub>[(SO<sub>4</sub>)<sub>2</sub>(SO<sub>3</sub>)<sub>2</sub>(OH)<sub>12</sub>]·22H<sub>2</sub>O,Ca Si S O H
Hilairite,Na_2_Zr^4+^Si_3_O_9_·3H_2_O,Na<sub>2</sub>ZrSi<sub>3</sub>O<sub>9</sub>·3H<sub>2</sub>O,Na Zr Si O H
Hilarionite,Fe^3+^_2_(S^6+^O_4_)(As^5+^O_4_)(OH)·6H_2_O,Fe<sup>3+</sup><sub>2</sub>(SO<sub>4</sub>)(AsO<sub>4</sub>)(OH)·6H<sub>2</sub>O,Fe S O As H
Hilgardite,Ca_2_B_5_O_9_Cl·H_2_O,Ca<sub>2</sub>B<sub>5</sub>O<sub>9</sub>Cl·H<sub>2</sub>O,Ca B O Cl H
Hillesheimite,"(K,Ca,Ba,[box])_2_(Mg,Fe^2+^,Ca,[box])_2_[(Si,Al)_13_O_23_(OH)_6_](OH)·8H_2_O","(K,Ca,Ba,[box])<sub>2</sub>(Mg,Fe,Ca,[box])<sub>2</sub>[(Si,Al)<sub>13</sub>O<sub>23</sub>(OH)<sub>6</sub>](OH)·8H<sub>2</sub>O",K Ca Ba Mg Fe Si Al O H
Hisingerite,Fe^3+^_2_Si_2_O_5_(OH)_4_·2H_2_O,Fe<sub>2</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>·2H<sub>2</sub>O,Fe Si O H
Hlousekite,"(Ni^2+^,Co^2+^)Cu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_·9H_2_O","(Ni,Co)Cu<sub>4</sub>(AsO<sub>4</sub>)<sub>2</sub>(AsO<sub>3</sub>OH)<sub>2</sub>·9H<sub>2</sub>O",Ni Co Cu As O H
Hochelagaite,CaNb^5+^_4_O_11_·8H_2_O,CaNb<sub>4</sub>O<sub>11</sub>·8H<sub>2</sub>O,Ca Nb O H
Hodgesmithite,"(Cu^2+^,Zn^2+^)_6_Zn^2+^(S^6+^O_4_)_2_(OH)_10_·3H_2_O","(Cu,Zn)<sub>6</sub>Zn(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>10</sub>·3H<sub>2</sub>O",Cu Zn S O H
Hoganite,Cu^2+^(CH_3_COO)_2_·H_2_O,Cu(CH<sub>3</sub>COO)<sub>2</sub>·H<sub>2</sub>O,Cu C H O
Hogarthite,"(Na,K)_2_CaTi^4+^_2_Si_10_O_26_·8H_2_O","(Na,K)<sub>2</sub>CaTi<sub>2</sub>Si<sub>10</sub>O<sub>26</sub>·8H<sub>2</sub>O",Na K Ca Ti Si O H
Hohmannite,Fe^3+^_2_O(S^6+^O_4_)_2_·8H_2_O,Fe<sup>3+</sup><sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Fe O S H
Hopeite,Zn^2+^_3_(P^5+^O_4_)_2_·4H_2_O,Zn<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Zn P O H
Horakite,(Bi^3+^_7_O_7_OH)[(U^6+^O_2_)_4_(PO_4_)_2_(As^5+^O_4_)_2_(OH)_2_]·3.5H_2_O,(Bi<sub>7</sub>O<sub>7</sub>OH)[(UO<sub>2</sub>)<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>]·3.5H<sub>2</sub>O,Bi O H U P As
Hornesite,Mg_3_(As^5+^O_4_)_2_·8H_2_O,Mg<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Mg As O H
Huemulite,Na_4_MgV^5+^_10_O_28_·24H_2_O,Na<sub>4</sub>MgV<sup>5+</sup><sub>10</sub>O<sub>28</sub>·24H<sub>2</sub>O,Na Mg V O H
Hugelite,Pb^2+^_2_(U^6+^O_2_)_3_(As^5+^O_4_)_2_O_2_·5H_2_O,Pb<sub>2</sub>(UO<sub>2</sub>)<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>O<sub>2</sub>·5H<sub>2</sub>O,Pb U O As H
Hughesite,Na_3_AlV^5+^_10_O_28_·22H_2_O,Na<sub>3</sub>AlV<sub>10</sub>O<sub>28</sub>·22H<sub>2</sub>O,Na Al V O H
Humboldtine,Fe^2+^(C_2_)^6+^O_4_·2H_2_O,Fe<sup>2+</sup>(C<sub>2</sub>O<sub>4</sub>)·2H<sub>2</sub>O,Fe C O H
Hummerite,KMgV^5+^_5_O_14_·8H_2_O,KMgV<sup>5+</sup><sub>5</sub>O<sub>14</sub>·8H<sub>2</sub>O,K Mg V O H
Hungchaoite,MgB_4_O_5_(OH)_4_·7H_2_O,MgB<sub>4</sub>O<sub>5</sub>(OH)<sub>4</sub>·7H<sub>2</sub>O,Mg B O H
Hureaulite,Mn^2+^_5_(P^5+^O_4_)_2_(P^5+^O_3_OH)_2_·4H_2_O,Mn<sup>2+</sup><sub>5</sub>(PO<sub>3</sub>OH)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Mn P O H
Hydrobasaluminite,Al_4_(S^6+^O_4_)(OH)_10_·15H_2_O,Al<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·15H<sub>2</sub>O,Al S O H
Hydroboracite,CaMg[B_3_O_4_(OH)_3_]_2_·3H_2_O,CaMg[B<sub>3</sub>O<sub>4</sub>(OH)<sub>3</sub>]<sub>2</sub>·3H<sub>2</sub>O,Ca Mg B O H
Hydrocalumite,"Ca_4_Al_2_(OH)_12_(Cl,CO_3_,OH)_2_·4H_2_O","Ca<sub>4</sub>Al<sub>2</sub>(OH)<sub>12</sub>(Cl,CO<sub>3</sub>,OH)<sub>2</sub>·4H<sub>2</sub>O",Ca Al O H Cl C
Hydrodelhayelite,KCa_2_(Si_7_Al)O_17_(OH)_2_·6H_2_O,KCa<sub>2</sub>(Si<sub>7</sub>Al)O<sub>17</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O,K Ca Si Al O H
Hydrodresserite,BaAl_2_(CO_3_)_2_(OH)_4_·3H_2_O,BaAl<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>4</sub>·3H<sub>2</sub>O,Ba Al C O H
Hydroglauberite,Na_10_Ca_3_(S^6+^O_4_)_8_·6H_2_O,Na<sub>10</sub>Ca<sub>3</sub>(SO<sub>4</sub>)<sub>8</sub>·6H<sub>2</sub>O,Na Ca S O H
Hydrohalite,NaCl·2H_2_O,NaCl·2H<sub>2</sub>O,Na Cl H O
Hydrokenopyrochlore,"([box],Sb^3+^,Na)_2_Nb^5+^_2_O_6_·H_2_O","([box],Sb<sup>3+</sup>,Na)<sub>2</sub>Nb<sub>2</sub>O<sub>6</sub>·H<sub>2</sub>O",Sb Na Nb O H
Hydromagnesite,Mg_5_(CO_3_)_4_(OH)_2_·4H_2_O,Mg<sub>5</sub>(CO<sub>3</sub>)<sub>4</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Mg C O H
Hydrombobomkulite,"(Ni^2+^,Cu^2+^)Al_4_(N^5+^O_3_)_2_(S^6+^O_4_)(OH)_12_·14H_2_O","(Ni,Cu)Al<sub>4</sub>(NO<sub>3</sub>)<sub>2</sub>(SO<sub>4</sub>)(OH)<sub>12</sub>·14H<sub>2</sub>O",Ni Cu Al N O S H
