from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name,color
Siderotil,Fe+2,2,4,4,2.5125,0.274624462219396,2,Siderotil,#800080
Siderotil,S+6,6,4,4,2.5125,0.274624462219396,6,Siderotil,#800080
Siderotil,O-2,-2,4,4,2.5125,0.274624462219396,-2,Siderotil,#800080
Siderotil,H+1,1,4,4,2.5125,0.274624462219396,1,Siderotil,#800080
Stannite,Cu+1,1,4,1,2.0675,0.167241636241546,1,Stannite,#800080
Stannite,Fe+2,2,4,1,2.0675,0.167241636241546,2,Stannite,#800080
Stannite,Sn+4,4,4,1,2.0675,0.167241636241546,4,Stannite,#800080
Stannite,S-2,-2,4,1,2.0675,0.167241636241546,-2,Stannite,#800080
Taenite,Ni,NA,4.62,4,1.87,0.030250557483916415,NA,Taenite,#800080
Taenite,Fe,NA,4.62,4,1.87,0.030250557483916415,NA,Taenite,#800080
Tennantite-(Fe),Cu+1,1,4,6,2.078,0.14973971283897608,1,Tennantite-(Fe),#800080
Tennantite-(Fe),Fe+2,2,4,6,2.078,0.14973971283897608,2,Tennantite-(Fe),#800080
Tennantite-(Fe),As+3,3,4,6,2.078,0.14973971283897608,3,Tennantite-(Fe),#800080
Tennantite-(Fe),S-2,-2,4,6,2.078,0.14973971283897608,-2,Tennantite-(Fe),#800080
Tetrataenite,Fe,NA,4.62,2,1.87,0.030250557483916415,NA,Tetrataenite,#800080
Tetrataenite,Ni,NA,4.62,2,1.87,0.030250557483916415,NA,Tetrataenite,#800080
Tochilinite,Fe+2,2,4.7,2,2.1983333333333333,0.3372256478362073,2,Tochilinite,#800080
Tochilinite,S-2,-2,4.7,2,2.1983333333333333,0.3372256478362073,-2,Tochilinite,#800080
Tochilinite,Mg+2,2,4.7,2,2.1983333333333333,0.3372256478362073,2,Tochilinite,#800080
Tochilinite,O-2,-2,4.7,2,2.1983333333333333,0.3372256478362073,-2,Tochilinite,#800080
Tochilinite,H+1,1,4.7,2,2.1983333333333333,0.3372256478362073,1,Tochilinite,#800080
Tremolite,Ca+2,2,4,1,1.9466666666666668,0.4365854110792049,2,Tremolite,#800080
Tremolite,Mg+2,2,4,1,1.9466666666666668,0.4365854110792049,2,Tremolite,#800080
Tremolite,Fe,NA,4,1,1.9466666666666668,0.4365854110792049,NA,Tremolite,#800080
Tremolite,Si+4,4,4,1,1.9466666666666668,0.4365854110792049,4,Tremolite,#800080
Tremolite,O-2,-2,4,1,1.9466666666666668,0.4365854110792049,-2,Tremolite,#800080
Tremolite,H+1,1,4,1,1.9466666666666668,0.4365854110792049,1,Tremolite,#800080
Trevorite,Ni+2,2,4.62,1,2.3933333333333335,0.37910392773157625,2,Trevorite,#800080
Trevorite,Fe+3,3,4.62,1,2.3933333333333335,0.37910392773157625,3,Trevorite,#800080
Trevorite,O-2,-2,4.62,1,2.3933333333333335,0.37910392773157625,-2,Trevorite,#800080
Troilite,Fe+2,2,4.7,6,2.205,0.2405125106076692,2,Troilite,#800080
Troilite,S-2,-2,4.7,6,2.205,0.2405125106076692,-2,Troilite,#800080
Violarite,Fe+2,2,4,1,2.1066666666666665,0.19550585786175284,2,Violarite,#800080
Violarite,Ni+3,3,4,1,2.1066666666666665,0.19550585786175284,3,Violarite,#800080
Violarite,S-2,-2,4,1,2.1066666666666665,0.19550585786175284,-2,Violarite,#800080
Wairauite,Co,NA,4.5685,2,1.855,0.019059481972683156,NA,Wairauite,#800080
Wairauite,Fe,NA,4.5685,2,1.855,0.019059481972683156,NA,Wairauite,#800080
Wustite,Fe+2,2,4.62,1,2.635,0.4320462685807747,2,Wustite,#800080
Wustite,O-2,-2,4.62,1,2.635,0.4320462685807747,-2,Wustite,#800080
