mineral_name,mineral_id,max_age_locality,min_age_locality,mindat_id,locality_longname,age_type
Kirschsteinite,2663,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Kirschsteinite,2663,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Lawrencite,2799,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Lollingite,2879,4,2.5,36825,"Jardine Mine (Mineral Hill Mine), Jardine Mining District (Sheepeater Mining District; Bear Gulch Mining District), Park Co., Montana, USA",O
Mackinawite,2921,4,2.5,109676,"Scuddles Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Mackinawite,2921,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Mackinawite,2921,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Maghemite,2928,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Maghemite,2928,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Magnetite,2965,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Magnetite,2965,4,2.5,248179,"Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,10225,"Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia",B
Magnetite,2965,4,2.5,206050,"Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109691,"Freddie Well Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109697,"Pincher Well (Pincher Hill) Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109676,"Scuddles Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Magnetite,2965,4,2.5,244258,"Willroy Mine, Gemmell Township, Thunder Bay District, Ontario, Canada",O
Magnetite,2965,4,2.5,256855,"Beattie-Donchester Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,8598,"Beattie Mine, Duparquet, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,256860,"Duvan Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,256856,"Hunter Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,194599,"Normetal Mine (Abana Mine), Normetal, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,230484,"Roquemaure Jasper Occurrence, Roquemaure, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,244584,"Aldermac Mine, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,9832,"Amulet Mine (Waite Amulet Mine), Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,186826,"Isle-Dieu Mine, Matagami, Nord-du-Québec, Québec, Canada",O
Magnetite,2965,4,2.5,186827,"Orchan Mine, Matagami, Nord-du-Québec, Québec, Canada",O
Magnetite,2965,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Magnetite,2965,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Magnetite,2965,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Magnetite,2965,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Magnetite,2965,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Magnetite,2965,4,2.5,248179,"Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,10225,"Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia",B
Magnetite,2965,4,2.5,206050,"Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109691,"Freddie Well Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109697,"Pincher Well (Pincher Hill) Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,109676,"Scuddles Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Magnetite,2965,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Magnetite,2965,4,2.5,244258,"Willroy Mine, Gemmell Township, Thunder Bay District, Ontario, Canada",O
Magnetite,2965,4,2.5,256855,"Beattie-Donchester Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,8598,"Beattie Mine, Duparquet, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,256860,"Duvan Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,256856,"Hunter Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Magnetite,2965,4,2.5,194599,"Normetal Mine (Abana Mine), Normetal, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
