mineral_name,chemistry_elements
Bearthite,O
Bearthite,H
Beaverite-(Cu),Pb
Beaverite-(Cu),Cu
Beaverite-(Cu),Fe
Beaverite-(Cu),S
Beaverite-(Cu),O
Beaverite-(Cu),H
Bechererite,Zn
Bechererite,Cu
Bechererite,O
Bechererite,H
Bechererite,Si
Bechererite,S
Becquerelite,Ca
Becquerelite,U
Becquerelite,O
Becquerelite,H
Bederite,Ca
Bederite,Mn
Bederite,Fe
Bederite,P
Bederite,O
Bederite,H
Behierite,Ta
Behierite,B
Behierite,O
Behoite,Be
Behoite,O
Behoite,H
Beidellite,Na
Beidellite,Ca
Beidellite,Al
Beidellite,Si
Beidellite,O
Beidellite,H
Belendorffite,Cu
Belendorffite,Hg
Belkovite,Ba
Belkovite,Nb
Belkovite,Si
Belkovite,O
Bellbergite,K
Bellbergite,Ba
Bellbergite,Sr
Bellbergite,Ca
Bellbergite,Na
Bellbergite,Si
Bellbergite,Al
Bellbergite,O
Bellbergite,H
Bellidoite,Cu
Bellidoite,Se
Bellingerite,Cu
Bellingerite,I
Bellingerite,O
Bellingerite,H
Belloite,Cu
Belloite,O
Belloite,H
Belloite,Cl
Belovite-(La),Na
Belovite-(La),La
Belovite-(La),Sr
Belovite-(La),P
Belovite-(La),O
Belovite-(La),F
Bementite,Mn
Bementite,Si
Bementite,O
Bementite,H
Benauite,Sr
Benauite,Fe
Benauite,P
Benauite,O
Benauite,H
Benavidesite,Pb
Benavidesite,Mn
Benavidesite,Sb
Benavidesite,S
Benitoite,Ba
Benitoite,Ti
Benitoite,Si
Benitoite,O
Benjaminite,Ag
Benjaminite,Bi
Benjaminite,S
Benleonardite,Ag
Benleonardite,Cu
Benleonardite,Sb
Benleonardite,As
Benleonardite,S
Benleonardite,Te
Benstonite,Ba
Benstonite,Ca
Benstonite,Mg
Benstonite,C
Benstonite,O
Bentorite,Ca
Bentorite,Cr
Bentorite,S
Bentorite,O
Bentorite,H
Benyacarite,K
Benyacarite,Ti
Benyacarite,Mn
Benyacarite,Fe
Benyacarite,P
Benyacarite,O
Benyacarite,F
Benyacarite,H
Beraunite,Fe
Beraunite,P
Beraunite,O
Beraunite,H
Berborite,Be
Berborite,B
Berborite,O
Berborite,H
Berdesinskiite,V
Berdesinskiite,Ti
Berdesinskiite,O
Berezanskite,K
Berezanskite,Ti
Berezanskite,Li
Berezanskite,Si
Berezanskite,O
Bergenite,Ca
Bergenite,Ba
Bergenite,U
Bergenite,O
Bergenite,P
Bergenite,H
Bergslagite,Ca
Bergslagite,Be
Bergslagite,As
Bergslagite,O
Bergslagite,H
Berlinite,Al
Berlinite,P
Berlinite,O
Bermanite,Mn
Bermanite,P
Bermanite,O
Bermanite,H
Bernalite,Fe
Bernalite,O
Bernalite,H
Bernardite,Tl
Bernardite,As
Bernardite,S
Berndtite,Sn
Berndtite,S
Berryite,Cu
Berryite,Ag
Berryite,Pb
Berryite,Bi
Berryite,S
Berthierine,Fe
Berthierine,Al
Berthierine,Si
Berthierine,O
Berthierine,H
Berthierite,Fe
Berthierite,Sb
Berthierite,S
Bertossaite,Li
Bertossaite,Ca
Bertossaite,Al
Bertossaite,P
Bertossaite,O
Bertossaite,H
Bertrandite,Be
Bertrandite,Si
Bertrandite,O
Bertrandite,H
Beryl,Be
Beryl,Al
Beryl,Si
Beryl,O
Beryllite,Be
Beryllite,Si
Beryllite,O
Beryllite,H
Beryllonite,Na
Beryllonite,Be
Beryllonite,P
Beryllonite,O
Berzelianite,Cu
Berzelianite,Se
Berzeliite,Na
Berzeliite,Ca
Berzeliite,Mg
Berzeliite,As
Berzeliite,O
Betekhtinite,Cu
Betekhtinite,Fe
Betekhtinite,Pb
Betekhtinite,S
Betpakdalite-CaCa,Ca
Betpakdalite-CaCa,H
Betpakdalite-CaCa,O
Betpakdalite-CaCa,Mo
Betpakdalite-CaCa,As
Betpakdalite-CaCa,Fe
Beudantite,Pb
Beudantite,Fe
Beudantite,As
Beudantite,O
Beudantite,S
Beudantite,H
Beusite,Mn
Beusite,P
Beusite,O
Beyerite,Ca
Beyerite,Bi
Beyerite,O
Beyerite,C
Bezsmertnovite,Au
Bezsmertnovite,Ag
Bezsmertnovite,Cu
Bezsmertnovite,Te
Bezsmertnovite,Pb
Bianchite,Zn
Bianchite,S
Bianchite,O
Bianchite,H
Bicchulite,Ca
Bicchulite,Al
Bicchulite,Si
Bicchulite,O
Bicchulite,H
Bideauxite,Ag
Bideauxite,Pb
Bideauxite,F
Bideauxite,Cl
Bieberite,Co
Bieberite,S
Bieberite,O
Bieberite,H
Bigcreekite,Ba
Bigcreekite,Si
Bigcreekite,O
Bigcreekite,H
Bijvoetite-(Y),Y
Bijvoetite-(Y),U
Bijvoetite-(Y),O
Bijvoetite-(Y),C
Bijvoetite-(Y),H
Bikitaite,Li
Bikitaite,Al
Bikitaite,Si
Bikitaite,O
Bikitaite,H
Bilibinskite,Pb
